* exp
[-0x1.16cc0df1540f5p+112,-0x1.b3e4076622f04p-232]
[-0x1.210215cd4421cp-219,-0x1.5109a14ed8284p-507]
[-0x1.07172058aec0ap+273,-0x1.5d74cfda6b292p-200]
[-0x1.0753c8c437b89p-415,-0x1.ff335468d1a39p-455]
[-0x1.bfd0932c988e7p+294,-0x1.44fb341090dd4p+253]
[-0x1.101ddfbee0029p+335,-0x1.c4e85e50a626dp+0]
[-0x1.b2a0d51958e97p+238,-0x1.3c3ca0dc2427fp-438]
[-0x1.39815cb53f3f4p+174,-0x1.eb095183538c8p-344]
[-0x1.3f6c4aa3b2589p-287,-0x1.0e3b84422f7d2p-753]
[-0x1.b9e7371bad173p-73,-0x1.0040b8b626af6p-561]
[-0x1.582d3afb2c63dp+312,-0x1.4237210f95fb5p+182]
[-0x1.2bca5b74dff5dp+258,-0x1.72f8af508ec0bp-46]
[-0x1.1fba2d1252d2bp+656,-0x1.25bd204ae48dap+9]
[-0x1.97e9fef192a01p+689,-0x1.39c311e11c138p+49]
[-0x1.44f2134e1901ep+8,-0x1.2c0ed6cd7f36ep-171]
[-0x1.4a94f199f955dp+989,-0x1.c64e43e18bd27p-542]
[-0x1.58391fd92c387p-148,-0x1.0304909a95c65p-438]
[-0x1.7f5b89f707c28p+351,-0x1.e27c711642cbep-509]
[-0x1.be4aa571ec12fp+239,-0x1.fef6f0c825e69p+190]
[-0x1.10d04d9c356e0p-237,-0x1.3faa34e8fb406p-314]
[0x1.0000000000000p+0,0x1.0000000000000p+1]
[-0x1.0000000000000p+0,0x1.0000000000000p+1]
[-0x1.4000000000000p+2,-0x1.8000000000000p+1]
[-0x1.0000000000000p+1,0x1.3333333333333p-1]
[0x0.0000000000001p-1022,0x0.0000000111111p-1022]
[0x0.0000000001111p-1022,0x1.0000000000000p+0]
[-0x0.0000000011111p-1022,0x0.0000000011111p-1022]
[-0x0.0000000000111p-1022,0x1.fff0000000000p+0]
[-0x1.ffff000000000p+0,-0x0.0000002222222p-1022]
[-0x1.fffffff000000p+0,0x0.0000233445555p-1022]
* exp2
[-0x1.16cc0df1540f5p+112,-0x1.b3e4076622f04p-232]
[-0x1.210215cd4421cp-219,-0x1.5109a14ed8284p-507]
[-0x1.07172058aec0ap+273,-0x1.5d74cfda6b292p-200]
[-0x1.0753c8c437b89p-415,-0x1.ff335468d1a39p-455]
[-0x1.bfd0932c988e7p+294,-0x1.44fb341090dd4p+253]
[-0x1.101ddfbee0029p+335,-0x1.c4e85e50a626dp+0]
[-0x1.b2a0d51958e97p+238,-0x1.3c3ca0dc2427fp-438]
[-0x1.39815cb53f3f4p+174,-0x1.eb095183538c8p-344]
[-0x1.3f6c4aa3b2589p-287,-0x1.0e3b84422f7d2p-753]
[-0x1.b9e7371bad173p-73,-0x1.0040b8b626af6p-561]
